heading_degrees,adaptive_success,adaptive_time,adaptive_final_distance,adaptive_mean_speed,constant_success,constant_time,constant_final_distance
0.0,True,38.79999999999935,0.44841643750292876,0.18235020449540668,True,38.75999999999935,0.4472563485987851
18.0,True,37.599999999999376,0.4495189245708574,0.18754538128657222,True,37.55999999999938,0.44474188096448203
36.0,True,36.4399999999994,0.4481400206817884,0.19342314583096207,True,36.3999999999994,0.4432051753261779
54.0,True,35.359999999999424,0.44680283883345917,0.1996730410383247,True,35.319999999999425,0.44679716238246175
72.0,True,34.51999999999944,0.44901694823622873,0.20523616572601494,True,34.55999999999944,0.4442777436274681
90.0,True,34.359999999999445,0.4496974337928784,0.20748157020657998,True,34.47999999999944,0.44632851886431796
108.0,True,35.23999999999943,0.4466881870594542,0.20431887692875894,True,35.43999999999942,0.44705729090062085
126.0,True,36.83999999999939,0.44940661262906884,0.1979830113111315,True,37.159999999999386,0.4435305848635328
144.0,True,38.639999999999354,0.4482877713046103,0.19208433821024484,True,39.039999999999345,0.4433835970936232
162.0,True,40.07999999999932,0.449241900799473,0.18910585786975587,True,40.59999999999931,0.44576478628884664
180.0,True,40.55999999999931,0.44590412197248386,0.19153578933481302,True,41.359999999999296,0.44243565618611447
198.0,True,40.75999999999931,0.44969478808999763,0.19561757587545323,True,41.95999999999928,0.4462430477539669
216.0,True,40.999999999999304,0.4499922435531224,0.19994857091005253,True,42.63999999999927,0.44518268843035547
234.0,True,41.0399999999993,0.4453270790819288,0.20591360182548682,True,43.03999999999926,0.44279371984350485
252.0,True,41.399999999999295,0.4480292764317236,0.21342706541840695,True,43.319999999999254,0.4416016925677092
270.0,True,47.039999999999175,0.44956882796838193,0.17704309079034047,True,46.159999999999194,0.44865962041632085
288.0,True,44.159999999999236,0.44828903827717814,0.17154476825327172,True,44.03999999999924,0.44764300721450606
306.0,True,42.55999999999927,0.44765057343091413,0.1722198905524932,True,42.55999999999927,0.4477016029224401
324.0,True,41.2399999999993,0.4470594549891871,0.17456397005215069,True,41.2399999999993,0.4486426139724669
342.0,True,39.999999999999325,0.44814016067411777,0.17801150015113085,True,39.999999999999325,0.44521563904201755
